,n_unique,moda,freq_moda
MSZoning,5,RL,924
Street,2,Pave,1164
Alley,2,Grvl,44
LotShape,4,Reg,729
LandContour,4,Lvl,1059
Utilities,2,AllPub,1167
LotConfig,5,Inside,822
LandSlope,3,Gtl,1108
Neighborhood,25,NAmes,181
Condition1,9,Norm,1004
Condition2,8,Norm,1157
BldgType,5,1Fam,978
HouseStyle,8,1Story,577
RoofStyle,6,Gable,906
RoofMatl,7,CompShg,1149
Exterior1st,15,VinylSd,420
Exterior2nd,16,VinylSd,410
MasVnrType,3,BrkFace,366
ExterQual,4,TA,727
ExterCond,5,TA,1018
Foundation,6,PConc,520
BsmtQual,4,TA,521
BsmtCond,4,TA,1045
BsmtExposure,4,No,769
BsmtFinType1,6,Unf,345
BsmtFinType2,6,Unf,1009
Heating,6,GasA,1140
HeatingQC,5,Ex,583
CentralAir,2,Y,1085
Electrical,4,SBrkr,1071
KitchenQual,4,TA,589
Functional,7,Typ,1084
FireplaceQu,5,Gd,305
GarageType,6,Attchd,693
GarageFinish,3,Unf,480
GarageQual,5,TA,1050
GarageCond,5,TA,1061
PavedDrive,3,Y,1070
PoolQC,3,Ex,2
Fence,4,MnPrv,128
MiscFeature,4,Shed,41
SaleType,9,WD,1012
SaleCondition,6,Normal,964
