,count,mean,std,min,25%,50%,75%,max,skew
MSSubClass,1168.0,56.84931506849315,42.53186193591955,20.0,20.0,50.0,70.0,190.0,1.43880382247422
LotFrontage,951.0,70.34384858044164,24.897020779586324,21.0,59.0,70.0,80.0,313.0,2.406787027289136
LotArea,1168.0,10689.642123287671,10759.366197666997,1300.0,7587.25,9600.0,11700.0,215245.0,11.958088174404898
OverallQual,1168.0,6.1215753424657535,1.3676192579677415,1.0,5.0,6.0,7.0,10.0,0.19657464137878028
OverallCond,1168.0,5.584760273972603,1.116062031580145,1.0,5.0,5.0,6.0,9.0,0.7331799415031699
YearBuilt,1168.0,1970.9657534246576,30.67549466099359,1872.0,1953.0,1972.0,2001.0,2010.0,-0.6234042550450195
YearRemodAdd,1168.0,1984.8972602739725,20.73395501385599,1950.0,1966.0,1994.0,2004.0,2010.0,-0.508066741226424
MasVnrArea,1162.0,103.77194492254733,173.0322384001245,0.0,0.0,0.0,166.0,1378.0,2.286423439127738
BsmtFinSF1,1168.0,446.0239726027397,459.070977339504,0.0,0.0,384.5,721.0,5644.0,1.8621322334968475
BsmtFinSF2,1168.0,45.15239726027397,158.21749934167485,0.0,0.0,0.0,0.0,1127.0,4.217894844425692
BsmtUnfSF,1168.0,570.5950342465753,446.3645508970373,0.0,222.5,480.0,810.25,2336.0,0.9106283048988465
TotalBsmtSF,1168.0,1061.771404109589,440.6763302880878,0.0,796.0,997.5,1299.25,6110.0,1.7238807131397176
1stFlrSF,1168.0,1169.3544520547946,386.6752679695711,334.0,888.0,1095.0,1396.75,4692.0,1.422161836606057
2ndFlrSF,1168.0,352.3510273972603,439.57087245383553,0.0,0.0,0.0,728.0,2065.0,0.8012094489912145
LowQualFinSF,1168.0,5.696061643835616,47.88710572274928,0.0,0.0,0.0,0.0,572.0,9.19945587771708
GrLivArea,1168.0,1527.4015410958905,524.4326862400336,334.0,1145.75,1473.0,1792.0,5642.0,1.4251389521467905
BsmtFullBath,1168.0,0.425513698630137,0.5199694241396523,0.0,0.0,0.0,1.0,3.0,0.6120318884474675
BsmtHalfBath,1168.0,0.05736301369863014,0.23628929098370782,0.0,0.0,0.0,0.0,2.0,4.005786474974812
FullBath,1168.0,1.577054794520548,0.5469123963044644,0.0,1.0,2.0,2.0,3.0,0.038168623718733356
HalfBath,1168.0,0.3818493150684932,0.499953044478514,0.0,0.0,0.0,1.0,2.0,0.6512959086095463
BedroomAbvGr,1168.0,2.8904109589041096,0.804854914482961,0.0,2.0,3.0,3.0,8.0,0.28988200748913245
KitchenAbvGr,1168.0,1.047945205479452,0.22544836501904522,0.0,1.0,1.0,1.0,3.0,4.445055148570794
TotRmsAbvGrd,1168.0,6.561643835616438,1.6197055716014008,2.0,5.0,6.0,7.0,14.0,0.6873364344880455
Fireplaces,1168.0,0.6181506849315068,0.6451288742068786,0.0,0.0,1.0,1.0,3.0,0.6375263863748082
GarageYrBlt,1104.0,1978.6621376811595,24.7289380763055,1900.0,1961.75,1980.0,2002.0,2010.0,-0.6664884944671419
GarageCars,1168.0,1.7816780821917808,0.7401613519168527,0.0,1.0,2.0,2.0,4.0,-0.38973204730819544
GarageArea,1168.0,476.2739726027397,211.09537298157582,0.0,341.0,482.0,576.0,1418.0,0.10910988502757094
WoodDeckSF,1168.0,95.94691780821918,129.68593897119905,0.0,0.0,0.0,168.0,857.0,1.587330375509758
OpenPorchSF,1168.0,49.57876712328767,69.43358026242657,0.0,0.0,27.0,74.0,547.0,2.3318904094143025
EnclosedPorch,1168.0,21.839041095890412,62.083227300285174,0.0,0.0,0.0,0.0,552.0,3.1639461799667563
3SsnPorch,1168.0,3.8125,31.519664262464932,0.0,0.0,0.0,0.0,508.0,9.833911097316495
ScreenPorch,1168.0,15.407534246575343,55.88114769868475,0.0,0.0,0.0,0.0,480.0,4.0903934435082485
PoolArea,1168.0,2.9554794520547945,41.64850351264455,0.0,0.0,0.0,0.0,738.0,14.396098359783084
MiscVal,1168.0,51.26712328767123,553.0396836913153,0.0,0.0,0.0,0.0,15500.0,22.053579158448297
MoSold,1168.0,6.3561643835616435,2.6707074595630758,1.0,5.0,6.0,8.0,12.0,0.24176079794145594
YrSold,1168.0,2007.8184931506848,1.3226393816803954,2006.0,2007.0,2008.0,2009.0,2010.0,0.08259255685612878
SalePrice,1168.0,181441.5419520548,77263.58386222839,34900.0,130000.0,165000.0,214925.0,745000.0,1.743128561420854
